epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,959.359,0.77885,0.55937,1.39704,0.87114,0.92898,0.90185,0.60535,1.10616,0.64475,1.68477,0.000291684,0.000291684,0.000291684
43,980.819,0.75078,0.51314,1.38285,0.80338,0.88569,0.83372,0.57782,1.14597,0.68741,1.77202,0.000263945,0.000263945,0.000263945
44,1002.64,0.74606,0.51792,1.35798,0.87455,0.92239,0.91459,0.60362,1.1485,0.59304,1.75594,0.000236205,0.000236205,0.000236205
45,1025.68,0.73263,0.48157,1.35959,0.89206,0.88923,0.90637,0.6357,1.10962,0.63065,1.69272,0.000208466,0.000208466,0.000208466
46,1046.73,0.70574,0.46443,1.3435,0.8541,0.8854,0.89353,0.61443,1.08951,0.62275,1.66854,0.000180726,0.000180726,0.000180726
47,1067.85,0.72389,0.4564,1.36422,0.93134,0.9117,0.92718,0.6589,1.07303,0.55237,1.65048,0.000152987,0.000152987,0.000152987
48,1090.23,0.69851,0.44347,1.34309,0.90955,0.8921,0.91809,0.65088,1.07997,0.58787,1.68349,0.000125248,0.000125248,0.000125248
49,1113.46,0.67952,0.42888,1.31274,0.89603,0.93377,0.92598,0.66134,1.06512,0.58337,1.65096,9.75082e-05,9.75082e-05,9.75082e-05
50,1135.72,0.65781,0.41116,1.31566,0.92475,0.93641,0.93493,0.68142,1.05262,0.56313,1.63738,6.97688e-05,6.97688e-05,6.97688e-05
51,1157.46,0.66236,0.42722,1.2735,0.89934,0.90422,0.91764,0.66399,1.04654,0.5911,1.63964,4.20294e-05,4.20294e-05,4.20294e-05
